cardNo,cvv,cardType,expiry,customer_id
4405790426994017,514,visa-electron,2/25/2016,148
3583074387345998,396,jcb,12/13/2013,96
3003795527838311,382,diners-club-carte-blanche,2/17/2013,127
3535605692938388,556,jcb,2/26/2015,7
0604698498019141,257,maestro,9/4/2013,194
3586431481327982,759,jcb,4/8/2013,185
6706243653557595,512,laser,10/16/2013,162
3584779802279940,803,jcb,9/20/2015,16
5038214951960849,679,maestro,3/23/2016,63
3569145425697398,080,jcb,10/2/2013,176
3539789176580290,938,jcb,7/15/2016,87
5893348655958736,017,maestro,4/26/2016,17
3560174014794704,811,jcb,7/31/2016,185
4041379325715111,520,visa,1/5/2015,83
3586656011220733,751,jcb,2/27/2015,164
3379411926132391,518,americanexpress,2/9/2014,89
3583616523668947,556,jcb,10/16/2013,71
4508409556047423,602,visa-electron,2/27/2013,41
3580478929235331,300,jcb,7/20/2014,183
3723015465013561,036,americanexpress,8/12/2015,55
3551588612343690,993,jcb,9/15/2014,51
5007667730307731,995,mastercard,12/3/2015,28
3584680569844076,691,jcb,8/19/2013,126
3556240202695296,232,jcb,10/2/2016,122
6384771188982937,752,instapayment,7/9/2016,110
5602218159205151,494,bankcard,1/1/2013,151
5100130839546994,880,mastercard,3/24/2014,132
6333504420726348,360,switch,12/10/2015,96
2016835720537341,362,diners-club-enroute,9/25/2014,162
3588973022281739,585,jcb,8/19/2015,117
3532109078736394,556,jcb,11/11/2014,132
3553670080945277,297,jcb,5/25/2014,51
3037325000725411,227,diners-club-carte-blanche,9/17/2013,14
5541006505628208,782,diners-club-us-ca,5/18/2013,90
4041372625715111,293,visa,10/8/2013,161
5610762358391583,808,china-unionpay,7/19/2015,198
3578623798772609,482,jcb,11/23/2013,60
4026945459680508,273,visa-electron,11/29/2013,1
5602217424238500,173,bankcard,2/6/2013,17
5007664347314655,464,mastercard,11/28/2015,17
4026995546335640,675,visa-electron,6/27/2013,67
3742889116704371,719,americanexpress,3/6/2016,180
3528483294979492,123,jcb,5/14/2015,63
3742883680715501,637,americanexpress,10/22/2015,35
4017957551203111,432,visa,2/21/2014,53
3560507565018629,030,jcb,12/15/2015,5
4913678875590391,494,visa-electron,1/12/2016,96
5602226313689699,505,china-unionpay,8/28/2013,9
5100177337231371,966,mastercard,2/16/2016,147
4917202209838693,160,visa-electron,4/28/2013,157
3550325729115971,824,jcb,11/19/2013,133
5038379882994925,167,maestro,12/20/2015,100
5007669425781584,314,mastercard,5/31/2015,61
4175007497390985,439,visa-electron,4/7/2014,74
6304680350845598,909,maestro,8/2/2015,156
3587217397746871,810,jcb,5/14/2016,194
6333808977474945,049,switch,3/29/2015,118
3574971200985325,760,jcb,9/9/2013,141
6762392206421972,024,maestro,5/9/2014,26
4903979244680950,486,switch,9/21/2014,105
3571058090441297,111,jcb,8/27/2014,128
6771912429968870,504,laser,3/10/2016,96
4508575495921660,574,visa-electron,11/29/2013,168
5501489829956059,307,mastercard,1/7/2015,89
3529148516380261,217,jcb,8/21/2015,155
3548267278073331,335,jcb,11/20/2014,76
6372421641956433,687,instapayment,7/29/2013,93
6763544411224000,755,maestro,4/5/2014,131
3556192780314230,129,jcb,5/12/2013,119
5114708495304107,173,mastercard,4/26/2015,93
6387474507505433,139,instapayment,2/20/2014,96
3543116238115036,908,jcb,3/29/2015,100
2018849841793861,810,diners-club-enroute,5/18/2014,160
3583731319900170,860,jcb,12/24/2015,186
3562697033424778,562,jcb,2/1/2015,66
2016184693392591,763,diners-club-enroute,1/5/2015,196
3561312777363965,895,jcb,8/7/2015,142
3544331770611743,489,jcb,12/13/2013,198
3579059603802456,037,jcb,2/13/2014,166
5384403239587711,321,mastercard,10/26/2013,32
4026107592023076,097,visa-electron,9/23/2015,136
5610227500044359,233,bankcard,4/17/2014,169
3552407071027430,815,jcb,2/9/2014,2
3582653375771991,842,jcb,1/6/2014,196
3571077584288063,032,jcb,2/24/2015,1
5532070458135521,984,mastercard,6/3/2016,160
3561085104520412,139,jcb,3/9/2015,3
3573409037715921,644,jcb,11/25/2015,42
6334359031877469,802,solo,5/20/2013,55
3578698266889341,193,jcb,9/29/2016,122
6334711047586422,656,solo,7/28/2014,114
3579947655918255,809,jcb,1/2/2015,125
3583689575832471,516,jcb,1/14/2014,62
3564680422186941,758,jcb,5/22/2014,167
0604538039953215,423,maestro,6/16/2013,28
3027940395336111,491,diners-club-carte-blanche,8/5/2014,99
3565986802314576,550,jcb,2/21/2013,146
3587645506739595,168,jcb,1/26/2014,82
3742832319830731,170,americanexpress,5/14/2014,129
3043750375032311,072,diners-club-carte-blanche,2/26/2014,142
3018379501851211,760,diners-club-carte-blanche,11/18/2013,42
3533071906810081,300,jcb,3/1/2016,19
3431261838275581,887,americanexpress,5/25/2015,146
3588705461853663,809,jcb,9/17/2013,102
3553599013021064,661,jcb,8/26/2013,99
5253798707923860,432,mastercard,10/1/2015,192
6333288444157719,453,switch,9/1/2014,142
4917779926595441,857,visa-electron,8/24/2013,193
3538834538536324,042,jcb,5/8/2016,11
3723017866179611,820,americanexpress,5/1/2016,91
5602244975042065,580,bankcard,8/30/2015,88
3027119557360611,182,diners-club-carte-blanche,8/31/2015,45
4041371127903111,360,visa,8/12/2014,174
6334629765480272,618,solo,12/21/2014,179
3540913293559402,959,jcb,5/6/2015,59
4175006566624175,737,visa-electron,12/8/2014,86
5100130445024352,651,mastercard,4/27/2013,191
3550757634323946,860,jcb,6/8/2016,13
3008128578618611,572,diners-club-carte-blanche,12/14/2013,29
3746220469726821,093,americanexpress,1/6/2015,13
4041371093935037,236,visa,10/18/2015,132
5136227684684694,228,mastercard,7/9/2015,197
5038347840057723,832,maestro,10/3/2014,123
6706726702674957,056,laser,1/19/2015,164
3531200939680573,247,jcb,8/4/2013,135
5641825562269536,873,switch,10/11/2013,169
3701777963949121,348,americanexpress,10/6/2015,50
2017139947660901,682,diners-club-enroute,9/21/2014,39
3537122152806913,265,jcb,11/27/2014,194
3578122714620331,563,jcb,6/20/2015,143
5100134919641758,414,mastercard,11/25/2015,97
3550517051110535,718,jcb,7/25/2013,83
5048374771301399,356,mastercard,7/9/2015,17
3544763204281851,987,jcb,10/24/2014,128
5602210918333119,783,bankcard,2/22/2015,40
2014655172494151,986,diners-club-enroute,3/11/2015,45
6761225790997877,480,maestro,3/8/2016,181
3587888290402745,721,jcb,7/28/2016,21
4917161367514019,132,visa-electron,7/1/2015,147
3544661250433519,733,jcb,12/18/2015,96
3437495624175581,351,americanexpress,6/6/2016,155
3542844402340749,327,jcb,5/31/2014,153
5602238763316673,227,bankcard,3/21/2015,39
6304479892239399,565,maestro,12/4/2014,172
3540454945449395,198,jcb,4/7/2014,40
3469801643148211,197,americanexpress,9/20/2015,199
3545033547466968,072,jcb,4/19/2016,24
3467654835768401,235,americanexpress,1/26/2016,1
5100145624892031,858,mastercard,3/4/2016,168
3579882835756848,402,jcb,4/13/2015,9
3541679405817959,896,jcb,11/17/2015,81
6398730509571674,924,instapayment,2/7/2015,184
5010124193099053,340,mastercard,7/21/2013,163
3541283620071102,705,jcb,12/5/2015,170
3532857082847819,882,jcb,4/10/2014,116
3550322041962016,012,jcb,2/1/2016,146
6333993082707770,837,switch,7/17/2014,117
3537844776018860,497,jcb,11/16/2014,61
5602256566641727,206,china-unionpay,3/29/2015,120
3536574037929776,997,jcb,10/5/2014,47
3582629942902053,418,jcb,11/22/2015,12
3529221107579334,410,jcb,6/23/2013,46
5002355598457518,625,mastercard,4/13/2013,15
3531944774847538,416,jcb,5/24/2015,193
6706160872289802,119,laser,2/2/2015,154
5100175482303128,652,mastercard,11/28/2013,76
6304119422655942,819,maestro,3/18/2015,31
3559657428007427,234,jcb,7/4/2015,166
3379419064151941,584,americanexpress,4/10/2015,167
3556441999318676,032,jcb,4/19/2013,194
3560256153547280,915,jcb,8/21/2014,116
3030455789971311,665,diners-club-carte-blanche,3/6/2014,169
3537061930714777,177,jcb,9/26/2014,103
6333943230000823,457,switch,6/21/2013,164
3588441621188192,518,jcb,7/11/2016,139
3566005211631212,842,jcb,4/19/2015,108
3570036461763383,901,jcb,10/1/2014,177
3529516679009978,998,jcb,8/17/2013,142
6333283680978390,236,switch,7/21/2016,146
6767472883647076,006,solo,1/3/2013,26
3571427516538590,535,jcb,4/14/2014,159
3574251256123638,924,jcb,11/28/2014,200
3532560724324144,272,jcb,8/3/2014,158
3587996806212449,961,jcb,5/8/2014,137
4913467985244192,947,visa-electron,4/1/2013,76
3561800728095611,201,jcb,11/15/2015,62
3053735045224411,151,diners-club-carte-blanche,10/23/2015,44
3581538157620170,305,jcb,11/8/2013,19
3484539499364231,235,americanexpress,9/1/2015,19
3563445389561440,614,jcb,4/11/2016,85
6709949477639082,384,laser,9/5/2015,140
3535032201390128,419,jcb,3/27/2013,44
6767736683771823,065,solo,1/7/2016,154
5602244492012289,007,china-unionpay,12/26/2015,34
3530442441415251,483,jcb,7/31/2014,120
3556267312765529,373,jcb,5/25/2016,122
3557296837688196,568,jcb,3/6/2013,62
3012481701632411,139,diners-club-carte-blanche,8/27/2013,107
6709584824130052,956,laser,3/8/2013,6
3567968753097291,486,jcb,6/7/2014,171
4629756764460150,633,visa,1/28/2015,80
6333057104797939,261,switch,9/4/2015,89
3530488647801174,132,jcb,5/16/2013,12
4017958262433941,025,visa,7/16/2015,127
4041592197172111,141,visa,9/14/2014,121
3561280292221374,205,jcb,6/3/2013,16
5602249635787884,109,bankcard,4/30/2014,100
4905042788490116,322,switch,12/5/2013,163
6761436484846185,877,maestro,1/31/2014,63
5326651757624545,044,mastercard,9/17/2015,148
5602252748684175,358,china-unionpay,12/19/2015,15
3578249771562088,477,jcb,2/10/2013,21
4917856101219557,999,visa-electron,7/27/2013,36
5536647459587291,470,diners-club-us-ca,10/14/2013,110
3534991802130319,393,jcb,1/21/2014,70
5610976740100591,617,bankcard,6/26/2014,32
3573411505881649,610,jcb,11/11/2015,5
5602231239093000,892,china-unionpay,1/21/2013,199
6706726722755913,751,laser,1/27/2015,195
3534579396511448,699,jcb,12/27/2013,133
3532448300966290,765,jcb,6/6/2015,173
3045828027896511,126,diners-club-carte-blanche,7/11/2013,46
5298707150766368,696,mastercard,1/30/2016,100
6376916813251295,371,instapayment,1/17/2013,116
3543915075751245,198,jcb,1/18/2016,1
3531800763569436,905,jcb,12/23/2013,182
5002357233996215,548,mastercard,2/8/2015,188
5610898514588518,213,china-unionpay,5/4/2013,67
3532209435409931,720,jcb,6/17/2014,168
3045610048141311,518,diners-club-carte-blanche,7/3/2015,14
3559212557164084,710,jcb,2/6/2013,43
3546726558172768,056,jcb,5/10/2014,184
3588021404215105,090,jcb,2/2/2015,115
6381224155122445,835,instapayment,12/6/2013,32
5010129655701567,496,mastercard,6/16/2013,26
3571289572825448,200,jcb,12/29/2014,164
5580361953203299,740,diners-club-us-ca,6/4/2016,29
5602241983579864,734,bankcard,10/21/2015,72
3581621500245265,730,jcb,4/30/2013,124
2015605411068291,714,diners-club-enroute,5/18/2015,119
6334386791793858,431,solo,9/30/2015,5
2016233228475301,395,diners-club-enroute,8/18/2016,188
5007660863385319,936,mastercard,12/2/2013,25
3688219975198211,478,diners-club-international,8/19/2013,189
4026674298144845,821,visa-electron,11/16/2015,167
0604957524883773,090,maestro,9/22/2013,141
3550289389128999,713,jcb,8/24/2013,48
3557129797784251,139,jcb,2/19/2014,93
3549651735718423,731,jcb,7/25/2015,22
3536425674950502,938,jcb,8/4/2015,82
6763388710166373,342,maestro,6/23/2015,196
3587365000370520,826,jcb,1/1/2014,4
6385751737438143,798,instapayment,2/19/2015,176
3547843243592646,480,jcb,9/22/2013,169
4905889001290298,781,switch,7/8/2016,176
5602235908793279,179,bankcard,11/12/2014,108
3723019638205781,643,americanexpress,9/20/2013,21
5100146223946848,111,mastercard,10/21/2013,113
3546370685529119,200,jcb,7/25/2015,102
3540951431230312,152,jcb,1/12/2014,24
3561708030780533,766,jcb,3/25/2013,67
6334271002300932,048,solo,11/15/2015,172
3573222253915665,101,jcb,7/30/2015,7
3571767097573320,345,jcb,9/6/2013,26
5020414859882631,182,maestro,11/4/2015,122
3460186265297261,291,americanexpress,12/18/2014,125
6384096430711912,302,instapayment,10/1/2016,87
4913712680223771,944,visa-electron,5/7/2014,138
3690893862178811,874,diners-club-international,4/15/2014,24
3564247315744853,481,jcb,12/30/2015,79
5117518974472631,006,mastercard,1/19/2013,46
3572957493073129,565,jcb,7/14/2015,83
3570141865866459,273,jcb,11/5/2013,143
4903306738311213,330,switch,12/6/2013,100
6759296082295742,153,maestro,8/15/2014,103
6762575971111848,450,maestro,2/8/2016,83
6378537808896791,983,instapayment,3/15/2016,39
5010122748916342,576,mastercard,11/4/2014,198
3552506375765775,527,jcb,5/24/2016,78
2018335301505321,702,diners-club-enroute,5/12/2016,189
3542172456001581,562,jcb,5/28/2015,4
5474545722614120,961,diners-club-us-ca,5/8/2015,121
5107639888579295,547,mastercard,12/8/2013,192
3558046459926799,888,jcb,12/15/2015,156
6759582452603546,160,maestro,9/28/2013,125
5610637338683264,336,china-unionpay,8/9/2013,128
5007666980753875,505,mastercard,10/1/2013,145
3585665053892250,857,jcb,6/10/2015,37
6304189741316500,712,maestro,2/4/2013,96
3548661566606507,577,jcb,10/25/2014,122
3746224487671511,066,americanexpress,1/29/2015,168
3547707364153514,385,jcb,2/26/2016,22
3549850596598615,962,jcb,1/16/2014,194
5641826361930205,933,switch,9/2/2013,101
3562183609294325,011,jcb,4/13/2013,97
3560028689074448,493,jcb,1/27/2016,179
3576043079012454,968,jcb,1/26/2016,74
5641828416617071,863,switch,6/26/2015,12
5489439920953113,033,diners-club-us-ca,6/6/2014,143
6706109174679925,145,laser,9/13/2014,165
3565041876288395,411,jcb,9/27/2014,178
3538812643564951,153,jcb,8/25/2014,102
0604411053498704,461,maestro,2/11/2014,82
5018283522821595,322,maestro,4/15/2015,149
6334744193384437,486,solo,2/15/2014,44
3574811732950498,200,jcb,1/20/2016,118
5602256494120928,368,china-unionpay,11/5/2013,176
3575087488730348,509,jcb,12/16/2014,187
3553065588405967,071,jcb,6/24/2016,168
3627050936405211,960,diners-club-international,8/6/2016,181
3545387022286428,843,jcb,6/2/2016,192
6709805138316651,138,laser,5/24/2015,11
3565774570095639,226,jcb,8/24/2014,68
5610962903994301,582,bankcard,1/16/2013,170
5602230665838854,889,bankcard,11/26/2013,84
3573743623888431,979,jcb,6/29/2016,108
6333731114469344,843,switch,4/25/2014,68
3723012166314261,293,americanexpress,6/15/2016,111
3546204188076148,318,jcb,6/11/2014,174
3540142972837778,015,jcb,2/4/2013,195
5100133286372765,976,mastercard,9/29/2013,131
6333425945070968,604,switch,4/9/2015,182
4844234769076131,996,visa-electron,9/14/2015,162
6333270611094881,602,switch,1/21/2015,197
3568490552442890,161,jcb,4/17/2015,167
3556972134403270,090,jcb,12/20/2015,69
5018045220264414,292,maestro,5/17/2013,96
3559680157156223,608,jcb,1/2/2014,103
6759352794096075,437,switch,5/3/2014,21
3017770497561411,288,diners-club-carte-blanche,6/10/2015,64
3541331592442676,950,jcb,5/16/2015,18
2014179490579651,741,diners-club-enroute,2/18/2015,186
5020588860146894,237,maestro,11/27/2015,177
3531945050952256,667,jcb,6/25/2013,191
3036531641341911,626,diners-club-carte-blanche,3/11/2013,21
6304876107025644,766,laser,12/19/2013,61
3556544448036961,414,jcb,12/2/2013,169
3565716992781478,966,jcb,3/11/2016,133
2018506541437051,588,diners-club-enroute,2/22/2016,99
5610384361122400,981,bankcard,10/7/2013,70
3549484689252813,922,jcb,11/5/2015,89
3558014526108981,361,jcb,3/1/2016,8
3586329409388674,439,jcb,11/8/2013,144
3559028014866214,307,jcb,4/12/2014,171
6759404916316863,101,switch,3/7/2014,135
5641825828400550,530,switch,3/30/2015,78
2016161774621401,706,diners-club-enroute,10/3/2013,30
3575196255235702,237,jcb,7/3/2013,136
5100142379700683,512,mastercard,3/19/2016,130
5018937781569282,070,maestro,1/28/2014,44
3585725077149929,228,jcb,1/24/2015,88
3560719386270772,472,jcb,5/22/2014,111
6762784902315693,060,maestro,7/4/2014,112
4041370794000111,190,visa,9/12/2016,142
2019108685544671,346,diners-club-enroute,7/19/2015,199
3746227955209141,496,americanexpress,3/27/2016,102
3537480497346379,901,jcb,3/17/2013,193
2016196485098871,351,diners-club-enroute,8/18/2015,30
4175006510054545,614,visa-electron,6/1/2015,25
4936819035086341,139,switch,1/31/2014,75
4911294593841607,314,switch,4/12/2014,136
3552109110050106,960,jcb,2/27/2014,154
5602253093156167,572,china-unionpay,3/9/2015,191
3024911524577811,202,diners-club-carte-blanche,10/13/2014,93
3535224425364654,739,jcb,8/9/2016,43
3560261939512509,304,jcb,5/1/2013,57
3545212198657576,706,jcb,10/18/2014,15
6378746922111058,529,instapayment,11/15/2013,199
6763366908863211,883,maestro,3/18/2013,189
3545045600537691,283,jcb,8/9/2016,97
3579109255285516,122,jcb,7/7/2015,82
4164302042889794,722,visa,3/26/2016,79
3742836258735591,705,americanexpress,12/9/2014,199
5602242552501883,747,bankcard,9/22/2013,141
3550825280946664,824,jcb,1/16/2016,149
6761998013247405,234,maestro,10/6/2015,179
3548642870812528,773,jcb,2/14/2016,57
3013750175653411,750,diners-club-carte-blanche,6/15/2015,58
3555984420655282,545,jcb,9/4/2016,134
6396352862673922,069,instapayment,5/25/2014,97
3557423491394131,666,jcb,6/4/2014,35
5002353434750832,357,mastercard,2/14/2015,52
2016466919545121,662,diners-club-enroute,12/19/2014,139
4017957372444111,873,visa,4/2/2013,108
3548120263895012,157,jcb,5/11/2015,109
5602251162041032,693,china-unionpay,9/12/2014,91
3746223604875491,805,americanexpress,7/17/2015,177
4041372190743274,288,visa,9/24/2016,194
4540307905379242,688,visa,10/12/2014,45
6762148605985155,049,maestro,5/12/2014,73
3530694483264241,662,jcb,7/14/2016,43
3746229508825701,098,americanexpress,3/26/2015,104
6304418697509880,828,laser,1/21/2014,163
3559198501820659,124,jcb,4/6/2013,55
6304228965502863,995,laser,3/19/2015,67
3543441335124461,884,jcb,7/4/2014,101
6393594259914251,804,instapayment,9/3/2015,186
3547589258922877,130,jcb,10/4/2013,43
3563150976225066,064,jcb,3/14/2013,185
4017955680160111,683,visa,10/7/2014,41
3528800457348704,899,jcb,1/7/2016,135
3723014624771361,348,americanexpress,7/19/2015,47
3559384363074797,621,jcb,7/10/2015,25
6384152196203709,280,instapayment,5/18/2015,77
3531431328392278,099,jcb,4/22/2015,40
4917992814904332,727,visa-electron,2/10/2016,102
5602226621540782,559,china-unionpay,3/23/2013,100
3575733020304130,604,jcb,7/13/2014,117
3000832834656111,369,diners-club-carte-blanche,4/29/2014,100
3026776814070811,056,diners-club-carte-blanche,4/24/2016,200
5602215640883406,303,bankcard,9/3/2013,106
3552559668339790,286,jcb,6/24/2014,54
3534680767115908,448,jcb,2/21/2015,12
5176586426888454,547,mastercard,12/8/2013,131
3543459633090028,099,jcb,5/20/2016,187
5038502709324443,656,maestro,1/21/2014,194
5602229539514048,352,bankcard,10/18/2014,89
5020412418661647,702,maestro,10/28/2014,28
3576784059943289,960,jcb,2/11/2015,71
2016225474495691,008,diners-club-enroute,1/1/2013,36
5641823179897466,737,switch,7/15/2015,124
3588907204640734,636,jcb,1/23/2013,159
4844677478521765,678,visa-electron,9/28/2016,172
5602238412131843,540,china-unionpay,12/7/2013,27
6370915165520063,607,instapayment,4/2/2014,41
3546632309683378,933,jcb,7/7/2016,168
3573765566620810,400,jcb,6/22/2015,80
5007665938427970,728,mastercard,1/2/2015,113
3020096606760511,748,diners-club-carte-blanche,4/3/2014,157
6304961247916698,431,maestro,5/14/2013,104
4911941106699882,348,switch,4/23/2015,70
5443903078013413,116,diners-club-us-ca,12/6/2014,83
3581232451180723,836,jcb,6/20/2014,181
3546709758260450,585,jcb,3/31/2016,61
3557340147070222,888,jcb,7/30/2016,100
3015503823017911,215,diners-club-carte-blanche,6/11/2014,56
3568773593090293,232,jcb,2/3/2016,48
3566110804771308,210,jcb,2/16/2015,11
5108752941513539,038,mastercard,8/17/2015,86
3569682158072118,417,jcb,5/1/2016,73
5391341155833621,799,mastercard,4/29/2016,97
3021488805678611,608,diners-club-carte-blanche,5/13/2016,35
5038780393849701,800,maestro,10/17/2013,31
3545105589520082,762,jcb,9/26/2016,1
6394419251597244,359,instapayment,3/21/2015,103
5893370341711638,957,maestro,6/21/2015,140
3584748017203359,120,jcb,12/27/2015,100
3672742766392311,416,diners-club-international,10/24/2013,142
6759132268488709,188,switch,10/24/2015,57
3562904840285438,614,jcb,5/15/2015,63
2017514761842341,656,diners-club-enroute,4/2/2013,153
3562692062836455,801,jcb,12/5/2014,10
3566870275760375,229,jcb,4/21/2014,147
5007667270904624,320,mastercard,11/30/2015,192
5602245420608921,711,bankcard,1/7/2013,167
6304642206586063,602,maestro,3/15/2013,34
6333845870042692,745,switch,10/15/2015,37
3561589063512104,746,jcb,6/1/2015,149
3544014582820088,604,jcb,8/17/2015,196
3573871243515686,119,jcb,4/25/2015,172
5387363500333848,883,mastercard,7/30/2016,86
4911371932496820,655,switch,8/29/2013,80
5602212389805658,110,bankcard,5/24/2016,65
3379419637823381,113,americanexpress,3/16/2016,51
5543699773669421,605,mastercard,1/26/2016,86
2019771316803381,534,diners-club-enroute,10/22/2013,148
3562232192086075,592,jcb,7/13/2016,38
6377221212933638,201,instapayment,6/3/2016,47
4917660115127339,663,visa-electron,5/30/2013,54
5893743491452313,725,maestro,5/21/2013,191
6706776895371220,710,laser,3/4/2015,95
6334749386358907,558,solo,1/21/2014,37
2019391815740271,650,diners-club-enroute,6/4/2013,178
3587107960010914,352,jcb,6/8/2014,68
3580191397150383,170,jcb,7/22/2015,69
3555187051321261,100,jcb,8/20/2016,132
5893285192111793,500,maestro,7/2/2014,95
5296493428773849,726,mastercard,2/28/2015,5
3528936328744976,691,jcb,9/11/2013,158
5368449658375112,485,mastercard,10/16/2014,24
3578366019447003,915,jcb,6/13/2013,81
4041374203947629,415,visa,1/4/2014,59
3550193041430795,351,jcb,12/26/2015,150
5018204184888862,354,maestro,9/23/2013,157
6759220727881603,388,maestro,4/8/2014,159
3563623649426642,370,jcb,5/11/2013,148
5108756761062238,205,mastercard,9/8/2015,179
3528397915792524,087,jcb,11/10/2015,140
6771469149567175,707,laser,9/7/2014,142
3555322271955115,295,jcb,5/19/2014,61
5010123276120174,575,mastercard,8/14/2015,23
3026560152562211,701,diners-club-carte-blanche,9/12/2015,30
3583887462942425,684,jcb,3/20/2014,40
4911279115026175,475,switch,3/11/2013,22
3585592101010083,747,jcb,1/15/2013,48
3723011084097411,028,americanexpress,12/3/2015,190
3548135537233386,813,jcb,6/25/2015,1
6763887298752168,523,maestro,7/30/2016,66
6767925754629383,599,solo,2/8/2013,16
3662445165755011,337,diners-club-international,6/7/2014,168
3537600407097594,092,jcb,9/21/2015,189
3569240807712707,052,jcb,3/4/2015,42
3588304535577563,562,jcb,10/2/2015,166
3046728287572811,867,diners-club-carte-blanche,8/8/2013,35
3498157449031301,114,americanexpress,2/4/2016,103
6761103276817075,869,maestro,8/2/2014,24
3576255916572090,339,jcb,12/20/2013,33
3578358597221322,810,jcb,6/19/2016,126
3551953272520518,488,jcb,6/2/2014,86
5490571801079530,579,mastercard,12/20/2014,163
4026155785895461,348,visa-electron,1/13/2013,93
5602247846173050,842,bankcard,4/6/2013,42
4017955991858851,183,visa,3/14/2013,15
3450770855561421,978,americanexpress,5/5/2016,160
3534871949095601,407,jcb,4/14/2015,193
3057222588695311,208,diners-club-carte-blanche,3/8/2014,7
3580245366130386,072,jcb,3/5/2014,2
3534567725998576,531,jcb,6/13/2015,23
6767387401922910,059,solo,2/25/2014,20
3580430056238646,682,jcb,10/11/2015,19
3578823872021135,302,jcb,8/1/2014,164
3548095810240229,779,jcb,4/2/2014,103
5602252675975260,104,bankcard,1/1/2016,175
3551290858212180,442,jcb,2/12/2014,42
2015141545486371,507,diners-club-enroute,7/14/2013,80
3562355707914547,239,jcb,1/4/2015,129
3581301245635134,542,jcb,10/2/2016,66
3586322945030025,525,jcb,5/20/2016,156
3588298692043544,498,jcb,7/10/2013,197
3563800386524520,981,jcb,10/2/2016,55
3578178018240887,277,jcb,3/5/2013,107
4026873973192398,850,visa-electron,7/16/2015,50
3723016731057991,209,americanexpress,8/16/2014,164
3637028672522611,642,diners-club-international,8/1/2014,186
3575749675142252,758,jcb,10/22/2015,61
3572809562336202,863,jcb,9/26/2013,155
5602210287408431,185,china-unionpay,8/26/2015,96
6763694333648589,228,maestro,1/8/2013,184
3577284432686175,772,jcb,7/16/2015,83
4913390032404678,801,visa-electron,7/30/2015,193
5602210895981088,224,bankcard,3/2/2016,57
3557407404092734,933,jcb,11/26/2015,120
5018486241610666,073,maestro,7/9/2015,103
3012549191726511,659,diners-club-carte-blanche,1/15/2014,192
3587502181391996,897,jcb,3/15/2016,26
3589327300788775,246,jcb,7/4/2016,133
3563798800922108,482,jcb,6/29/2016,108
3574354904132819,766,jcb,4/6/2013,45
4936440828919944,273,switch,5/7/2013,200
5389968147070245,406,mastercard,12/21/2015,112
3579381101529138,463,jcb,9/16/2015,49
4936042287741535,492,switch,8/7/2014,132
3379415250781911,031,americanexpress,4/7/2016,149
2016137565731241,481,diners-club-enroute,4/23/2016,147
3587665666606418,765,jcb,4/19/2016,66
3543271065132438,758,jcb,7/29/2013,159
6370841732110065,289,instapayment,8/7/2015,66
3528928287949597,899,jcb,8/3/2014,94
3542092342505399,979,jcb,10/2/2013,184
3587600118089384,075,jcb,2/19/2016,78
6709046173694998,671,laser,12/2/2014,76
5602237086931451,831,china-unionpay,11/20/2014,200
3548155245315580,330,jcb,9/14/2013,31
5018000760886170,283,maestro,1/12/2015,59
